,Rapidly adapting,Slowly adapting
"Surface receptor /
small receptive
field","Hair receptor,Meissner’s corpuscle: De-
tect an insect or a very fine vibration.
Used for recognizing texture.","Merkel’s receptor: Used for spa-
tial details, e.g. a round surface
edge or “an X” in brail."
"Deep receptor /
large receptive
field","Pacinian corpuscle: “A diffuse vibra-
tion” e.g. tapping with a pencil.","Ruffini’s corpuscle: “A skin
stretch”. Used for joint position
in fingers."
